Name,Year,Draft Team,Team,Position,Pick,Height,Wingspan,yhat PTS,yhat AST,yhat TS%,yhat TOV%,yhat 3PM,yhat DBPM,Pct PTS,Pct AST,Pct TS%,Pct TOV%,Pct 3PM,Pct DBPM
Alexandre Sarr,2024,,Perth (NBL),PF/C,3.0,85.0,88.25,15.530461732863495,2.1809977688230395,0.5423746795401877,12.108652576280228,1.0590680600776765,-0.3025371436671643,87.4,60.5,85.2,71.3,58.0,61.7
Zaccharie Risacher,2024,,JL Bourg (France),SF,3.2,81.75,81.5,15.324127484515142,2.4415727400378744,0.5307909265730814,11.373575667471986,1.7464258371686339,-0.7488853720869092,86.4,68.5,74.4,86.2,92.4,28.9
Reed Sheppard,2024,,Kentucky,PG/SG,3.4,75.0,75.25,17.909030981530137,6.778691352712205,0.5716789325009228,13.302555717258807,2.219485651601825,0.6016001079725076,97.5,98.2,97.1,45.6,99.0,96.5
Donovan Clingan,2024,,UConn,C,3.8,87.0,90.75,16.992792817725654,2.7997255845623314,0.5960520657485234,11.673460475528886,0.7799693531370007,0.7172554189564354,94.7,75.9,99.6,81.2,42.8,97.9
Stephon Castle,2024,,UConn,PG/SG,4.6,78.75,81.0,15.768052996282396,4.880678339454833,0.5421214814483865,12.323079123005767,1.465093951354104,-0.13190133481291155,89.3,94.0,84.9,67.5,82.0,74.2
Matas Buzelis,2024,,G League,SF,5.6,82.0,82.0,14.306694977427217,2.907861333146738,0.5247993095069414,11.367603627241229,1.3412324903211412,-0.22814631566415272,80.4,77.3,67.8,86.3,75.7,67.5
Dalton Knecht,2024,,Tennessee,SF,7.4,78.5,81.0,15.543308446305351,1.9529240998534234,0.524882687949551,9.655599551576366,2.1640837235919195,-1.3988501999442509,87.6,53.1,67.9,99.0,98.2,2.9
Nikola Topić,2024,,Red Star (Serbia),PG,8.4,79.0,77.5,16.503485734036932,7.154437472935571,0.5398252261502109,14.348967870390432,1.8328001304071249,-0.31060408762995395,93.0,98.5,83.1,24.2,94.1,60.9
Rob Dillingham,2024,,Kentucky,PG,8.8,74.25,75.0,17.12839206886524,5.904874371796665,0.5320553989364596,12.832046362928299,2.208475814853375,-0.854287538448785,95.3,96.9,75.8,56.0,98.9,21.6
Tidjane Salaun,2024,,Cholet Basket (France),SF,10.0,82.0,85.5,13.077883913551315,2.451720201835208,0.5161125277183328,11.31083933550613,1.6843138595763358,-0.42239648144056646,72.2,68.8,58.5,87.0,89.9,53.6
Devin Carter,2024,,Providence,PG,10.6,75.5,80.75,15.22477799244281,4.396425939805251,0.5338334736002849,14.407688743603416,1.8517595736262646,0.13686735863052457,85.8,92.3,77.3,22.8,94.6,85.1
Cody Williams,2024,,Colorado,SF,10.8,79.75,85.0,13.557996534278304,2.2711535362487467,0.544226182039707,11.234364601728814,1.1746061663291338,-0.5941427555899218,75.3,63.6,86.3,88.3,65.2,38.9
Ron Holland,2024,,G League,SF/PF,11.8,79.75,82.75,14.623657385757188,3.3668667882026466,0.5195092301049826,11.996650872749939,1.068131289471228,-0.11518347881015834,82.1,84.4,62.8,74.1,58.6,75.1
Jared McCain,2024,,Duke,PG/SG,14.4,75.25,75.5,15.013486099623027,3.454316656455468,0.544096138731297,10.55433125387032,2.252066631796066,-0.7169880770671492,84.5,85.4,86.1,95.0,99.3,31.3
Ja'Kobe Walter,2024,,Baylor,SG,15.4,77.5,82.0,13.744624908872687,2.2031402606562427,0.5269511209118347,10.961828253553277,1.7115865310409426,-0.6284747843917968,77.1,61.0,70.3,90.6,91.0,36.6
Tristan da Silva,2024,,Colorado,SF/PF,19.0,81.5,82.25,10.80633468035919,2.2573119518204576,0.5172785644259609,10.750772574976022,1.5617399059381123,-0.6411167908174972,56.0,62.9,59.8,93.5,86.3,35.6
Isaiah Collier,2024,,USC,PG,19.2,75.75,76.75,13.868410956918625,4.807327506892854,0.5155766641934275,14.6511127692235,1.096815570925977,-0.770231456048727,77.6,93.9,57.0,18.5,60.8,27.0
Zach Edey,2024,,Purdue,C,19.4,89.0,94.75,14.258860481247478,1.381933471591446,0.5736703642713615,13.65936955770714,0.2995535976574021,0.25560476812518296,80.1,33.1,97.6,37.4,18.0,88.8
Carlton Carrington,2024,,Pittsburgh,PG,20.2,77.0,80.0,13.15769887808263,4.850610346180117,0.5235092141400495,13.057181107283908,1.6431570609256938,-0.46945248343008894,72.7,93.9,66.2,50.4,88.8,49.2
Kyle Filipowski,2024,,Duke,C,21.6,84.0,82.5,13.604970174530823,2.797652729897767,0.5397501796116788,13.169245101013775,1.2531005128347763,0.3794537523287028,75.6,75.8,83.1,48.5,70.1,91.8
Kel'el Ware,2024,,Indiana,C,21.8,85.0,88.5,12.294790352436467,1.910614975560924,0.558885947901918,12.604149614577958,0.6096650755365354,0.17832377743226024,67.1,51.6,93.9,61.6,32.3,86.2
Yves Missi,2024,,Baylor,C,22.0,84.0,86.0,11.717652262283764,1.383856278965987,0.5627064800840699,12.597569174069829,0.47988047661486033,-0.21055224384023075,62.7,33.3,95.0,61.9,25.8,69.0
Johnny Furphy,2024,,Kansas,SG,22.6,80.75,80.0,12.161415451811534,2.4211357798226705,0.5363436529155292,11.51056507055778,1.7183121823823622,-0.269171221405668,66.4,67.3,79.8,83.7,91.3,63.7
Tyler Kolek,2024,,Marquette,PG,24.2,74.5,74.75,11.357538612243594,4.753050495165905,0.5075877295272547,15.157817023687068,1.4026917961594492,-0.7452328403293079,60.0,93.6,47.6,12.4,79.5,29.3
Kyshawn George,2024,,Miami,SG,26.0,80.25,82.25,9.291484576193744,2.5441222462507387,0.5072859452098243,13.832338101813882,1.5569723307156633,-0.33624137381483843,45.6,70.1,47.0,34.1,86.1,59.4
Tyler Smith,2024,,G League,PF/SF,26.6,82.25,85.0,10.895691159459929,1.999389249971555,0.5118063768689727,11.438286525556748,1.2827272866899762,-0.5510907619531314,56.5,54.2,52.9,84.9,72.7,42.3
Terrence Shannon Jr.,2024,,Illinois,SG,26.8,79.0,80.75,11.250476515336596,1.4364487530693992,0.5124687235069331,11.705445421058654,1.4967924148048448,-0.8626847037306906,59.1,35.7,53.5,80.4,83.1,20.9
Bobi Klintman,2024,,Cairns (NBL),SF/PF,27.4,82.0,83.0,8.036590590555832,1.7067011404494103,0.4814947788219974,13.023942208850109,1.2409649247965437,-0.676253708831014,36.8,45.2,17.6,51.3,69.4,33.7
DaRon Holmes II,2024,,Dayton,PF,28.4,82.0,85.0,11.900912993052017,1.628857742972284,0.5267979474362275,12.636132542575883,0.690216727290233,-0.2486438530808377,64.2,42.1,70.1,60.6,36.6,66.0
Baylor Scheierman,2024,,Creighton,SF,28.8,79.5,80.25,9.65329707478869,1.8912429459284337,0.5054264103250964,11.505278024232949,2.0032267036756193,-0.4558582613542708,49.4,51.0,44.7,83.9,96.7,50.8
Ryan Dunn,2024,,Virginia,SF,29.0,79.5,85.5,8.443373237037619,1.3102518078389622,0.5245004455919916,11.955774422159957,0.44920409306928266,0.5534178207356707,39.8,30.5,67.7,75.1,24.8,95.8
Pacome Dadiet,2024,,Ratiopharm Ulm (Germany),SG,31.6,81.0,81.0,9.358958907355754,1.5707022190331563,0.5085892012726395,12.422197986697087,1.279473179959505,-0.9565959465592729,46.2,39.9,48.7,65.7,72.2,14.2
Jaylon Tyson,2024,,California,SG,31.6,78.75,80.0,10.537145854567811,1.998854526918079,0.4971216554368064,12.788555814754671,1.1331722295356392,-0.7896415202166948,53.8,54.0,34.3,57.2,63.4,25.5
Kevin McCullar,2024,,Kansas,SG,37.0,78.5,81.0,7.861719784671092,1.5143826852570674,0.48619790299405236,13.166116426013106,0.9128105266755944,-0.5905496169007648,35.5,38.7,21.8,48.6,49.8,39.2
Cam Christie,2024,,Minnesota,SG,37.8,77.75,80.0,9.081295239544179,2.169045258602857,0.5074324824030718,10.692443621213544,1.3307704869543842,-0.8248250502406036,44.5,60.1,47.4,94.1,74.7,24.0
Adem Bona,2024,,UCLA,C,38.6,81.5,87.75,7.335387542450005,1.266014431406988,0.5283961031400299,15.198704809712469,0.1336002082502914,0.41729073504742475,31.3,28.7,72.0,11.9,11.7,93.2
Justin Edwards,2024,,Kentucky,SF,39.2,79.25,82.0,6.922443468497011,1.4112472931446205,0.4982142626562204,10.168479401923724,1.1750844298130743,-0.8492222345808391,28.5,34.6,36.3,97.3,65.3,21.9
Jonathan Mogbo,2024,,San Francisco,PF,40.6,79.5,86.0,7.46584735368001,1.7941933383204423,0.5293151194405559,13.699871246003923,0.17327297290809307,0.6045799773830834,32.5,48.6,73.0,36.7,13.0,96.7
Nikola Djurisic,2024,,KK Mega Basket (Serbia),SG/SF,41.0,80.25,80.0,7.434288152736976,1.7379288618929098,0.475463080290073,13.843852462622607,0.7194034840248368,-0.7657835785733775,32.2,46.5,13.5,33.9,38.7,27.6
Juan Núñez,2024,,Ratiopharm Ulm (Germany),PG,41.6,77.25,78.5,7.860811158651752,3.750847007671924,0.4780302423034783,17.392591190503126,0.48952451125142016,-0.39793237330246495,35.4,87.7,15.4,1.0,26.4,55.4
Harrison Ingram,2024,,North Carolina,SF,41.8,78.5,84.25,7.116714413101219,1.4439153536991074,0.49360326541646077,12.020930523637784,1.0152007471970341,-0.11618073933276796,29.9,36.1,30.5,73.6,55.5,75.0
AJ Johnson,2024,,Illawarra (NBL),SG,42.2,77.5,80.5,4.384605296678972,0.461635875396158,0.42791680338000865,14.485489099484923,0.569753388132624,-1.6080678952803273,12.0,9.0,0.2,21.7,30.5,1.2
KJ Simpson,2024,,Colorado,PG,42.4,73.5,76.5,9.449669548614114,3.3573749451229387,0.5030195771535838,13.067487572503488,1.3223448700613465,-0.43870151542051694,47.1,83.9,41.6,50.2,74.5,52.2
Ajay Mitchell,2024,,UC Santa Barbara,PG/SG,44.4,76.5,78.25,7.771239453758298,2.1688987966214093,0.48934351848528407,13.041719654345501,0.6780086673845243,-1.034942331253178,34.7,60.0,24.9,50.7,35.8,11.1
Jamal Shead,2024,,Houston,PG,46.4,73.5,75.0,8.35788219649069,3.7564517026030746,0.48033469435528875,14.16677076900463,1.1202139038014929,-0.2702745961917131,39.1,87.8,16.9,27.1,62.2,63.5
Dillon Jones,2024,,Weber State,SF,46.8,77.75,83.0,6.577338829930069,1.2834777954925942,0.48825015745926864,13.177752454948761,0.6830182728541343,-0.23734888058041798,25.4,29.4,23.8,48.2,36.3,66.9
Oso Ighodaro,2024,,Marquette,PF,48.4,82.75,83.0,5.795581533146949,1.4184376132295724,0.5111089469818567,12.633802131007826,0.011074646320770709,-0.2648521980614058,20.3,35.1,51.7,60.7,8.4,64.0
Melvin Ajinca,2024,,Saint-Quentin (France),SG/SF,48.4,80.5,79.5,5.641892516974923,1.1999059074600196,0.48279936709309795,10.810782085245087,1.443905940607635,-1.2188596852915707,18.9,26.3,19.3,92.4,81.2,6.0
Jaylen Wells,2024,,Washington State,SF,48.8,79.75,79.25,6.945628130007728,1.3438461331207117,0.5006088000112036,8.789364726900306,1.472159301655632,-1.1403263700286512,28.9,32.2,39.4,99.9,82.1,7.7
Cam Spencer,2024,,UConn,SG,49.6,76.25,77.0,5.617288921587147,1.9558890479152864,0.4967507616287585,10.105536337481038,1.48296948506106,-0.37514662804759347,18.6,53.2,33.8,97.7,82.5,56.9
Pelle Larsson,2024,,Arizona,SG,49.6,78.5,79.5,4.719841150928471,1.3977753899384702,0.4850154311121248,13.99966730355366,0.7304505409483261,-0.7168844159195791,13.6,33.9,21.1,30.2,39.5,31.3
Keshad Johnson,2024,,Arizona,PF,50.0,79.5,82.25,4.606498867577932,0.7544154988577876,0.4892485945897868,12.957735640219227,0.6002976260856662,-0.7527100366020214,13.1,15.0,24.8,52.6,32.0,28.5
Trey Alexander,2024,,Creighton,SG,51.2,76.5,82.5,5.9988506365241605,0.9184708090795204,0.48269050292099325,12.51303057342371,0.7367145910091968,-0.706578446830635,21.2,18.3,19.0,63.7,40.3,31.8
Jalen Bridges,2024,,Baylor,SF,51.6,80.0,82.0,4.627293528398883,0.8042284729434299,0.49428220677134793,10.432721153333976,1.231214591747598,-0.7250032322696841,13.2,15.7,30.8,96.3,68.8,30.6
Trentyn Flowers,2024,,Adelaide (NBL),SG,52.6,79.75,80.25,3.442500951193085,0.41282674209906833,0.4450793627220252,15.00046420804399,0.2876799910417408,-1.7401575853015232,7.2,7.7,0.8,14.0,17.6,0.4
Tristen Newton,2024,,UConn,PG/SG,56.2,76.5,78.75,4.773697771434641,1.3187679322578736,0.47033621772128265,15.191823914445894,0.8068567720776121,-0.683495203193842,14.3,31.0,9.7,12.0,44.1,33.4
PJ Hall,2024,,Clemson,PF,56.2,81.5,85.5,4.981006079764112,0.26483694302744665,0.4792336196281763,12.059841148710106,0.7157014751555563,-1.0396762790606935,15.4,5.4,16.1,72.6,38.5,10.8
Antonio Reeves,2024,,Kentucky,SG,57.5,77.75,80.25,4.2214846910197865,0.08955114113061469,0.48250484909818936,10.447745250226689,0.9519534071186412,-1.6732180995516077,11.4,3.5,18.7,96.0,52.5,0.7
Bronny James,2024,,USC,PG/SG,57.6,74.75,79.25,2.810351066408396,2.1000974584988015,0.45501487274170815,14.897269802747124,0.4852956280963595,-0.8570770016601915,4.5,57.9,2.5,15.1,26.2,21.5
Enrique Freeman,2024,,Akron,PF,59.2,80.5,86.0,2.800648518070755,-0.1638077108325804,0.48277495126523423,14.404197481501017,-0.09965998733026127,-0.5459998173603937,4.4,1.5,19.2,22.9,5.5,42.9
Isaac Jones,2024,,Washington State,PF,61.2,81.0,87.0,1.4565701508806477,-0.3675478134248784,0.48544380669518344,13.263199341581965,-0.32959145628319375,-1.0263374507579668,1.7,0.1,21.2,46.4,2.5,11.4
Quinten Post,2024,,Boston College,C,63.0,85.25,86.5,1.762595043544236,0.10477512662638766,0.47452779931915434,14.689864179985866,0.33567219866475795,-0.3252679267826667,2.1,3.8,12.9,17.7,19.6,59.8
Ariel Hukporti,2024,,Melbourne (NBL),C,63.8,84.0,86.5,-0.08884181689147574,-0.25726722905237076,0.4683412505529115,16.858744405619312,-0.6009168929899663,-0.2188450125264042,0.4,0.8,8.3,1.8,0.4,68.2
Reece Beekman,2024,,Virginia,PG,64.2,74.5,78.5,3.5273765968388338,2.3337769245626734,0.4622964752808373,14.644902179610229,0.27904817539719773,-0.5692646250125185,7.5,65.2,4.7,18.8,17.1,41.1
Isaiah Crawford,2024,,Louisiana Tech,SF,64.8,78.0,,2.717224363917044,0.2149803484606161,0.4649930386566112,13.229631013588648,0.2571546733448904,-0.2581535124954721,4.2,4.7,6.3,47.2,16.2,65.1
N'Faly Dante,2024,,Oregon,C,65.2,83.25,90.0,3.001322921567307,-0.18623383503802926,0.5285470369095773,14.959138328115582,-0.590422734649184,0.5216060707943567,5.3,1.3,72.2,14.4,0.4,95.0
Mantas Rubstavicius,2024,,New Zealand (NBL),SG,67.0,80.5,79.25,0.746972569174428,0.558926391286436,0.46396038489402097,13.67307294577387,0.704411765346514,-0.9996297997516325,0.9,11.0,5.4,37.1,37.5,12.3
Judah Mintz,2024,,Syracuse,PG,68.0,76.0,75.5,3.8533746767284303,2.0549862136205372,0.46014900607419523,14.179537423022689,0.10745821801352484,-0.9706658049187327,9.0,56.5,3.8,26.7,10.5,13.5
